ID,SMILES,AV_Bit,AV
coq_1,Oc1cccc(O)c1,0,
coq_2,CN1CCN(CC1)C2=Nc4ccccc4Nc3sc(C)cc23,0,
coq_3,CC(C)Cn3cnc2c(N)nc1ccccc1c23,0,
coq_4,O=C(NCCC(=O)O)c1ccccc1,0,
coq_5,Cc1ccc(O)cc1,0,
coq_6,CC(C)(C)c1ccc(O)cc1,0,
coq_7,O=C(O)C3=CN2C(C)CCc1c(c(F)cc(c12)C3=O)N4CCC(O)CC4,0,
coq_8,OC(=O)CCc1nc(c(o1)c2ccccc2)c3ccccc3,0,
coq_9,Brc2c3nccnc3ccc2NC1=NCCN1,0,
coq_11,N/C(N)=N/c1nc(CSCCC(\N)=N/S(N)(=O)=O)cs1,0,
coq_12,Cl.O=C(OCC)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3ccccc3C[C@H]2C(=O)O,0,
coq_13,C[C@@H](CC)C(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@@H]23,0,
coq_14,NC(=O)N3c1ccccc1C(=O)Cc2ccccc23,0,
coq_15,CC(C)C(C#N)(CC(C)N(C)C)c1ccccc1,0,
coq_16,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(=C4)O)[C@@H]1CC[C@@H]2O,0,
coq_17,O=C(O)[C@H](CCC(=O)O)NC(=O)c1ccc(cc1)NCc2cnc3NC(N)=NC(=O)c3n2,0,
coq_18,O=C(c1ccc(cc1O)OC)c2ccccc2O,0,
coq_19,O=S(=O)(Nc1ccccn1)c3ccc(/N=N/c2cc(C(=O)O)c(O)cc2)cc3,0,
coq_20,ONC(=O)Cc1ccc(OCCCC)cc1,0,
coq_21,NC1=NC2=C(N=C[N]2[C@@H]\3C[C@H](CO)\C=C3)C(=N1)NC4CC4,0,
coq_22,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,0,
coq_23,CCCC(CCC)C(O)=O,0,
coq_24,Cl.O=C(O)/C=C/c2ccc(Cn1ccnc1)cc2,0,
coq_25,Cl.COc1cc(ccc1OC)C(=O)OCCCCN(CC)C(C)Cc2ccc(OC)cc2,0,
coq_26,C[n+]2cc1c6OCOc6ccc1c3ccc4cc5OCOc5cc4c23,0,
coq_27,Cl.Clc1cccc(c1)N2CCN(CC2)CCCN3N=C4C=CC=CN4C3=O,0,
coq_29,CC(=O)N1CCN(CC1)C2=CC=C(OC[C@H]3CO[C@@](C[N]4C=CN=C4)(O3)C5=CC=C(Cl)C=C5Cl)C=C2,0,
coq_30,OC(=O)Cc1ccccc1,0,
coq_31,CC(=O)N[C@@H](CS)C(O)=O,0,
coq_32,[O-][N+](=O)c2cc(Oc1ccccc1)c(cc2)NS(C)(=O)=O,0,
coq_33,Cl.CCCN2CCCC[C@H]2C(=O)Nc1c(C)cccc1C,0,
coq_34,C[C@H](CCC([O-])=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0,
coq_35,Cl.CC(C)NC(=O)c1ccc(CNNC)cc1,0,
coq_36,[H][C@](CO)(C(=O)OC1CC2C3OC3C(C1)[N+]2(C)C)C4=CC=CC=C4,0,
coq_37,[O-][n+]2ccccc2SSc1cccc[n+]1[O-],0,
coq_38,Cl.CCOc1ccc(cc1OCC)Cc3nccc2cc(OCC)c(cc23)OCC,0,
coq_39,O=C(CC)c1ccc(O)cc1,0,
coq_40,CC(C)Cc1ccc(cc1)CCc2cc5c(s2)n3c(C)nnc3C(C)N=C5c4ccccc4Cl,0,
coq_41,[Na+].[Na+].[O-]C(=O)C=4Oc3cccc(OCC(O)COc1cccc2OC(=CC(=O)c12)C([O-])=O)c3C(=O)C=4,0,
coq_42,[Na+].Clc2cccc(Cl)c2Nc1ccccc1CC([O-])=O,0,
coq_43,[Cl-].CC[NH+](CC)CCOC(=O)c1ccc(NCCCC)cc1,0,
coq_44,CS(=O)(=O)O.Oc1cccc(c1C)C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,0,
coq_45,C[N+](C)(C)CCOP([O-])(=O)OCCCCCCCCCCCCCCCC,0,
coq_46,CCCCCCCCCC(O)=O,0,
coq_47,CC(C)(c1cccnc1)C(=O)c2cccnc2,0,
coq_48,Clc4cc5NC(=O)N(C3CCN(CCCN1c2ccccc2NC1=O)CC3)c5cc4,0,
coq_49,O=C(O)c2ccccc2Nc1cccc(C)c1C,0,
coq_50,O=C(CCBr)N1CCN(CC1)C(=O)CCBr,0,
coq_51,CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3,0,
coq_52,O=C(O)c1ccccc1O.Oc1cccc2cccnc12,0,
coq_53,Oc1cc(O)ccc1CCCCCC,0,
coq_54,Cc1ccc(cc1)N(CC2=NCCN2)c3cc(O)ccc3,0,
coq_55,COc1ccc(cc1)C(\Cl)=C(/c2ccc(OC)cc2)c3ccc(OC)cc3,0,
coq_56,Cc1cc(ccc1)N(C)C(=S)Oc2ccc4c(c2)C3CCC4C3,0,
coq_57,[Cl-].COc2ccc1cc3c4cc5OCOc5cc4CC[n+]3cc1c2OC,0,
coq_58,C/C=C/C=C/C(O)=O,0,
coq_59,Clc2cc(Cl)ccc2Oc1ccc(Cl)cc1O,0,
coq_60,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2cc(O)cc(C)c2O1,0,
coq_61,OCC(Br)(CO)[N+]([O-])=O,0,
coq_62,Cl.CN(C)CCN3c1ccccc1N(C)c2ccccc2C3=O,0,
coq_63,O=C2C(=C2c1ccccc1)c3ccccc3,0,
coq_64,O=C(O)C(O)(CC(=O)O)CC(=O)O.CN(C)CCOc1ccc(cc1)/C(c2ccccc2)=C(/CC)c3ccccc3,0,
coq_65,Clc2cccc(Cl)c2Nc1ccccc1CC(=O)OCC(=O)O,0,
coq_66,Nc3nc(Cl)nc2c3ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,0,
coq_67,S=C(SSC(=S)N1CCCCC1)N2CCCCC2,0,
coq_68,O=S(=O)(O)O.Clc1ccccc1[C@H](N2CCc3sccc3C2)C(=O)OC,0,
coq_69,Clc1ccc(cc1)C(=O)n3c2ccc(cc2c(CC(=O)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)C)c3C)OC,0,
coq_70,Oc2ccc(Cl)cc2Cc1ccccc1,0,
coq_71,[O-][N+](=O)c2oc(/C=N/N1CCOC1=O)cc2,0,
coq_72,Fc1ccc(cc1)C(=O)C4CCN(CCN2C(=O)c3ccccc3NC2=O)CC4,0,
coq_73,CSCC[C@H](N)C(O)=O,0,
coq_74,Oc1ccc(cc1)C(=C\C)/C(=C/C)c2ccc(O)cc2,0,
coq_75,[O-]C(=O)C1=C(C(=C(Cl)C(=C1Cl)Cl)Cl)C/2=C/3\C=C(I)/C(=O)/C(=C3OC4=C2C=C(I)C(=C4I)[O-])I,0,
coq_76,CN1CCN(CC1)c4c(F)cc2c3N(C=C(C2=O)C(=O)O)N(C)COc34,0,
coq_77,O=S(=O)(O)O.CC(C)(NC)Cc1ccccc1.CC(C)(NC)Cc1ccccc1,0,
coq_78,O=C(O)c1cccc(c1)c2nc(on2)c3ccccc3F,0,
coq_79,[O-][N+](=O)O.Clc3ccc(C(OCc1ccc(Cl)cc1)Cn2ccnc2)c(Cl)c3,0,
coq_80,NS(=O)(=O)c2cc(c(NCc1ccco1)cc2Cl)C(=O)O,0,
coq_81,OC(=O)[C@@H]1CCCN1,0,
coq_82,Oc2ccc(Cl)cc2Cc1cc(Cl)ccc1O,0,
coq_83,C/C=C/C1=C(/N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C2=O)C(O)=O,0,
coq_84,NC(=O)c2cn(Cc1c(F)cccc1F)nn2,0,
coq_85,CN(C)C(=O)COC(=O)C(C)c1cc2Cc3ccc(C)nc3Oc2cc1,0,
coq_86,O=S(=O)(NC(=O)NCCC)c1ccc(Cl)cc1,0,
coq_87,[Ca+2].O[C@H](CCn1c(c(c(c1C(C)C)C(=O)Nc2ccccc2)c3ccccc3)c4ccc(F)cc4)C[C@@H](O)CC([O-])=O.[O-]C(=O)C[C@H](O)C[C@H](O)CCn4c(c1ccc(F)cc1)c(c2ccccc2)c(C(=O)Nc3ccccc3)c4C(C)C,0,
coq_88,OCC(=O)[C@@]3(O)CC[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@H]4C(=O)C[C@@]23C,0,
coq_89,O[C@@H]1CC(=O)[C@H](C/C=C\CCCC(=O)O)[C@H]1/C=C/[C@@H](O)CCCCC,0,
coq_91,CCCc1cc2OCOc2cc1COCCOCCOCCCC,0,
coq_92,O=C(OCC)c2ccc(OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)cc2,0,
coq_93,Cl.CNCC[C@H](Oc1cccc2ccccc12)c3cccs3,0,
coq_95,CC(=O)Oc1ccc(cc1)C(c2ccc(OC(C)=O)cc2)c3ccccn3,0,
coq_96,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,0,
coq_97,[O-][N+](=O)O.Clc3ccc(C(SCc1ccc(Cl)cc1)Cn2ccnc2)c(Cl)c3,0,
coq_98,CC(C)(C)NCC(O)COc2ccccc2OCC1CCCO1,0,
coq_99,CC2=C[C@H]\3CC=1NC(=O)C=CC=1[C@@](N)(C2)C/3=C\C,0,
coq_100,Clc1ccc(cc1)C(=O)n3c2ccc(cc2c(CC(=O)OCC(=O)O)c3C)OC,0,
coq_102,S=C1N(C=CN1C)C(=O)OCC,0,
